ticket,n1,n2,n3,n4,n5,s1,s2
1,10,19,24,33,41,3,11
2,16,33,34,47,49,7,9
3,12,15,18,23,42,6,7
4,1,10,19,23,34,6,8
5,11,16,31,41,45,5,12
6,10,19,23,34,41,6,7
