ticket,n1,n2,n3,n4,n5,s1,s2
1,10,11,27,42,50,1,7
2,5,14,38,44,45,5,9
3,12,16,29,35,47,6,9
4,4,28,40,44,46,5,6
5,10,20,22,37,49,5,12
6,6,7,15,42,48,7,9
7,25,31,43,44,50,6,7
